#混合基金
#2021-08-04
#ID     名字                            波动率  夏普率  最大回撤      基金累计净值最大值    基金成立时间    单笔投最小本金               
#上等马
001532  华安文体健康混合                21.88   2.03    26.41         3.7580                2017-06-08      100

#中等马
001716  工银新趋势灵活配置混合A         16.76   1.61    21.07         4.0180                2015-12-15      100
001216  易方达新收益混合A               16.40   1.65    21.54         4.5470                2015-04-17      100
001856  易方达环保主题混合              24.48   1.98    21.56         4.1360                2017-06-02      100
002943  广发多因子混合                  23.89   1.75    23.67         3.5630                2016-12-30      100
673060  西部利得景瑞灵活配置混合A       23.44   1.92    30.16         3.0430                2016-08-25      100
001667  南方转型混合                    19.23   1.75    37.99         2.0450                2016-08-17      100

#下等马
519133  海富通改革驱动混合              21.23   1.19    26.01         3.4090                2016-04-28      100
002340  富国价值优势混合                21.86   1.21    32.22         4.0700                2016-04-08      100
750001  安信灵活配置混合                18.53   1.1     35.44         3.487                 2012-06-20      100
519150  新华优选消费混合                19.95   1.01    42.01         5.0955                2012-06-13      100    
166019  中欧价值智选混合A               19.49   1.01    42.48         5.2050                2013-05-14      100
090018  大成新锐产业混合                21.04   1.16    45.28         6.0310                2012-03-20      100        
165516  信诚周期轮动混合(LOF)           22.41   1.21    50.71         7.4050                2012-05-07      100
570008  诺德周期策略混合                22.19   1.10    53.15         5.5270                2012-03-21      100
540003  汇丰晋信动态策略混合A           19.34   1.12    53.16         5.4512                2007-04-09      100


#股票基金
#2021-08-18
#ID     名字                            波动率  夏普率  最大回撤      基金累计净值最大值    基金成立时间    单笔投最小本金               
#中等马
005968  创金合信工业周期股票A           29.01   1.76    29.29         3.9148                2018-05-17      100      

#下等马
001718  工银物流产业股票                19.30   1.25    24.81         3.7660                2016-03-01      100
001644  汇丰晋信智造先锋股票C           26.40   1.09    31.88         4.0738                2015-09-30      100
519714  交银消费新驱动股票              20.56   1.10    36.57         5.5030                2012-11-07      100
001054  工银新金融股票                  20.37   1.14    47.64         3.3500                2015-03-19      100
000991  工银战略转型股票A               20.14   1.30    52.59         3.7030                2015-02-16      100


#支付宝
#中等马
004997 广发高端制造股票A                26.09   1.83    20.26         3.2828                2017-09-01      100
#下等马
000746 招商行业精选股票                 23.13   1.03    34.28         4.9320                2014-09-03      100
002079 前海开源中国稀缺资产混合C        23.24   1.02    34.53         3.8050                2015-11-19      100
519732 交银定期支付双息平衡混合         16.37   1.18    38.59         6.3310                2013-09-04      100
161725 招商中证白酒指数(LOF)A           30.96   1.07    36.01         3.2516                2015-05-27      100
160632 鹏华酒A                          28.94   1.04    46.11         2.4430                2015-04-29      100
#驽马
270002 广发稳健增长A                    10.90   0.91    14.33         4.9081                2004-07-26      100
000778 鹏华先进制造股票                 19.14   0.88    33.20         3.8210                2014-11-04      100
206009 鹏华新兴产业混合                 19.58   0.74    25.45         4.8330                2011-06-15      100
001469 广发中证全指金融地产ETF联接A     18.49   0.21    28.48         1.2429                2015-07-09      100
420102 天弘永利债券B                    3.84   1.57  5.42              1.9584    2008-04-18    1000




