日期,单位净值,累计净值,涨跌幅
2021-08-17,0.941,2.283,-4.47
2021-08-16,0.985,2.312,0.41
2021-08-13,0.981,2.309,0.51
2021-08-12,0.976,2.306,-1.61
2021-08-11,0.992,2.316,-1.88
2021-08-10,1.011,2.329,6.09
2021-08-09,0.953,2.291,2.03
2021-08-06,0.934,2.278,-0.64
2021-08-05,0.94,2.282,-1.16
2021-08-04,0.951,2.289,-1.45
2021-08-03,0.965,2.299,0.94
2021-08-02,0.956,2.293,5.29
2021-07-30,0.908,2.261,-5.91
2021-07-29,0.965,2.299,-1.13
2021-07-28,0.976,2.306,1.24
2021-07-27,0.964,2.298,-4.17
2021-07-26,1.006,2.325,-6.85
2021-07-23,1.08,2.374,-2.53
2021-07-22,1.108,2.392,-1.77
2021-07-21,1.128,2.405,0.09
2021-07-20,1.127,2.405,0.36
2021-07-19,1.123,2.402,0.81
2021-07-16,1.114,2.396,-1.42
2021-07-15,1.13,2.407,2.73
2021-07-14,1.1,2.387,0.46
2021-07-13,1.095,2.384,2.53
2021-07-12,1.068,2.366,0.66
2021-07-09,1.061,2.361,-2.93
2021-07-08,1.093,2.382,-2.15
2021-07-07,1.117,2.398,1.45
2021-07-06,1.101,2.388,-0.45
2021-07-05,1.106,2.391,0.55
2021-07-02,1.1,2.387,-3.76
2021-07-01,1.143,2.415,0.7
2021-06-30,1.135,2.41,0.98
2021-06-29,1.124,2.403,-1.58
2021-06-28,1.142,2.415,0.88
2021-06-25,1.132,2.408,2.17
2021-06-24,1.108,2.392,0.36
2021-06-23,1.104,2.39,-2.99
2021-06-22,1.138,2.412,0.71
2021-06-21,1.13,2.407,-0.7
2021-06-18,1.138,2.412,-1.13
2021-06-17,1.151,2.42,2.31
2021-06-16,1.125,2.403,-1.4
2021-06-15,1.141,2.414,0.18
2021-06-11,1.139,2.413,-2.57
2021-06-10,1.169,2.432,1.21
2021-06-09,1.155,2.423,-0.09
2021-06-08,1.156,2.424,-6.17
2021-06-07,1.232,2.473,1.99
2021-06-04,1.208,2.458,1.94
2021-06-03,1.185,2.443,1.11
2021-06-02,1.172,2.434,-1.18
2021-06-01,1.186,2.443,0.76
2021-05-31,1.177,2.437,0.34
2021-05-28,1.173,2.435,0
2021-05-27,1.173,2.435,0.69
2021-05-26,1.165,2.43,-0.94
2021-05-25,1.176,2.437,3.07
2021-05-24,1.141,2.414,2.52
2021-05-21,1.113,2.396,0.09
