宽基指数
000016 上证指数
000903 中证100
000300 沪深300
000905 中证500
000852 中证1000
399330 深证100
399008 中小300
399006 创业板指
000688 科创50

行业指数
000988 全指工业
000989 全指可选
000990 全指消费
000992 全指金融地产
000991 全指医药
000993 全指信息
931008 汽车指数
931009 建筑材料
930697 家用电器
399995 基建工程
399975 证劵公司

主题指数
000827 中证环保
399967 中证军工
399989 中证医疗
931151 光伏产业
399971 中证传媒
980017 国证芯片
000922 中证红利
931079 5G通信
399976 新能源
931152 创新药
930632 稀金属
H30199 中证全指电力指数
931524 SHS科技龙头
980032 新能电池

跨境指数
930604 中国互联网30
HSI.HI 恒生指数
HSCEL 恒生中国企业指数
HSTECH 恒生科技
SPX.GI 标普500
NDX.GI 纳斯达克100
